rcv   26143.427  A     155   0     16101
snd   26145.985  D     16101 100   155  
rcv   26195.183  A     155   0     16201
snd   26198.537  D     16201 100   155  
rcv   26247.873  A     155   0     16301
snd   26253.130  D     16301 100   155  
rcv   26298.212  A     155   0     16401
drop  26303.527  D     16401 100   155  
snd   26549.632  D     16401 100   155  
rcv   26600.210  A     155   0     16501
drop  26602.514  D     16501 100   155  
snd   26851.837  D     16501 100   155  
rcv   26901.648  A     155   0     16601
drop  26903.182  D     16601 100   155  
snd   27153.505  D     16601 100   155  
rcv   27203.406  A     155   0     16701
snd   27204.742  D     16701 100   155  
rcv   27254.210  A     155   0     16801
drop  27255.648  D     16801 100   155  
snd   27505.728  D     16801 100   155  
rcv   27555.589  A     155   0     16901
snd   27557.282  D     16901 100   155  
rcv   27606.374  A     155   0     17001
snd   27610.100  D     17001 100   155  
rcv   27659.095  A     155   0     17101
snd   27664.293  D     17101 100   155  
rcv   27709.424  A     155   0     17201
drop  27714.663  D     17201 100   155  
snd   27960.859  D     17201 100   155  
rcv   28010.636  A     155   0     17301
snd   28017.437  D     17301 100   155  
rcv   28063.125  A     155   0     17401
snd   28068.549  D     17401 100   155  
rcv   28113.927  A     155   0     17501
drop  28119.175  D     17501 100   155  
snd   28366.757  D     17501 100   155  
rcv   28416.615  A     155   0     17601
drop  28420.879  D     17601 100   155  
snd   28668.492  D     17601 100   155  
rcv   28718.428  A     155   0     17701
drop  28721.403  D     17701 100   155  
snd   28972.045  D     17701 100   155  
rcv   29021.792  A     155   0     17801
drop  29023.729  D     17801 100   155  
snd   29273.521  D     17801 100   155  
rcv   29323.476  A     155   0     17901
drop  29325.142  D     17901 100   155  
snd   29575.369  D     17901 100   155  
rcv   29625.252  A     155   0     18001
snd   29627.863  D     18001 100   155  
rcv   29677.026  A     155   0     18101
drop  29682.730  D     18101 100   155  
snd   29929.853  D     18101 100   155  
rcv   29980.759  A     155   0     18201
drop  29982.246  D     18201 100   155  
snd   30232.858  D     18201 100   155  
rcv   30282.639  A     155   0     18301
snd   30284.412  D     18301 100   155  
rcv   30333.686  A     155   0     18401
drop  30336.826  D     18401 100   155  
snd   30585.436  D     18401 100   155  
rcv   30635.319  A     155   0     18501
snd   30638.075  D     18501 100   155  
rcv   30685.994  A     155   0     18601
snd   30688.868  D     18601 100   155  
rcv   30736.431  A     155   0     18701
snd   30739.464  D     18701 100   155  
rcv   30786.851  A     155   0     18801
snd   30789.987  D     18801 100   155  
rcv   30837.159  A     155   0     18901
snd   30840.527  D     18901 100   155  
rcv   30887.479  A     155   0     19001
drop  30890.883  D     19001 100   155  
snd   31139.269  D     19001 100   155  
rcv   31189.086  A     155   0     19101
snd   31190.831  D     19101 100   155  
rcv   31240.082  A     155   0     19201
snd   31255.335  D     19201 100   155  
rcv   31290.688  A     155   0     19301
snd   31305.914  D     19301 100   155  
rcv   31341.049  A     155   0     19401
snd   31356.283  D     19401 100   155  
rcv   31391.345  A     155   0     19501
snd   31406.731  D     19501 100   155  
rcv   31441.736  A     155   0     19601
drop  31457.239  D     19601 100   155  
snd   31694.456  D     19601 100   155  
rcv   31744.403  A     155   0     19701
drop  31745.624  D     19701 100   155  
snd   31995.561  D     19701 100   155  
rcv   32045.517  A     155   0     19801
drop  32045.940  D     19801 100   155  
snd   32296.826  D     19801 100   155  
rcv   32346.655  A     155   0     19901
drop  32347.797  D     19901 100   155  
snd   32598.164  D     19901 100   155  
rcv   32648.095  A     155   0     20001
snd   32653.429  D     20001 100   155  
rcv   32702.868  A     155   0     20101
drop  32706.860  D     20101 100   155  
snd   32954.153  D     20101 100   155  
rcv   33003.966  A     155   0     20201
snd   33005.376  D     20201 100   155  
rcv   33054.854  A     155   0     20301
snd   33057.238  D     20301 100   155  
rcv   33105.715  A     155   0     20401
drop  33107.783  D     20401 100   155  
snd   33357.100  D     20401 100   155  
rcv   33407.010  A     155   0     20501
drop  33408.399  D     20501 100   155  
snd   33658.693  D     20501 100   155  
rcv   33708.593  A     155   0     20601
snd   33710.636  D     20601 100   155  
rcv   33759.395  A     155   0     20701
snd   33761.505  D     20701 100   155  
rcv   33809.766  A     155   0     20801
snd   33812.949  D     20801 100   155  
rcv   33860.147  A     155   0     20901
drop  33863.584  D     20901 100   155  
snd   34111.561  D     20901 100   155  
rcv   34161.442  A     155   0     21001
drop  34162.849  D     21001 100   155  
snd   34412.898  D     21001 100   155  
rcv   34462.840  A     155   0     21101
drop  34463.389  D     21101 100   155  
snd   34714.072  D     21101 100   155  
rcv   34763.858  A     155   0     21201
drop  34764.848  D     21201 100   155  
snd   35015.383  D     21201 100   155  
rcv   35065.215  A     155   0     21301
snd   35066.907  D     21301 100   155  
rcv   35115.936  A     155   0     21401
drop  35117.588  D     21401 100   155  
snd   35367.361  D     21401 100   155  
rcv   35417.068  A     155   0     21501
drop  35418.879  D     21501 100   155  
snd   35668.645  D     21501 100   155  
rcv   35718.512  A     155   0     21601
drop  35719.850  D     21601 100   155  
snd   35970.374  D     21601 100   155  
rcv   36020.201  A     155   0     21701
drop  36022.842  D     21701 100   155  
snd   36271.576  D     21701 100   155  
rcv   36321.576  A     155   0     21801
snd   36322.268  D     21801 100   155  
rcv   36371.996  A     155   0     21901
snd   36372.817  D     21901 100   155  
rcv   36422.374  A     155   0     22001
drop  36423.280  D     22001 100   155  
snd   36673.641  D     22001 100   155  
rcv   36723.361  A     155   0     22101
drop  36724.441  D     22101 100   155  
snd   36974.749  D     22101 100   155  
rcv   37024.604  A     155   0     22201
snd   37026.060  D     22201 100   155  
rcv   37075.421  A     155   0     22301
snd   37079.304  D     22301 100   155  
rcv   37126.225  A     155   0     22401
drop  37130.472  D     22401 100   155  
snd   37377.697  D     22401 100   155  
rcv   37427.493  A     155   0     22501
drop  37429.154  D     22501 100   155  
snd   37679.074  D     22501 100   155  
rcv   37728.978  A     155   0     22601
snd   37730.284  D     22601 100   155  
rcv   37780.015  A     155   0     22701
drop  37781.231  D     22701 100   155  
snd   38031.861  D     22701 100   155  
rcv   38081.593  A     155   0     22801
drop  38082.827  D     22801 100   155  
snd   38332.956  D     22801 100   155  
rcv   38383.043  A     155   0     22901
drop  38383.551  D     22901 100   155  
snd   38634.488  D     22901 100   155  
rcv   38684.564  A     155   0     23001
snd   38692.320  D     23001 100   155  
rcv   38737.962  A     155   0     23101
snd   38746.833  D     23101 100   155  
rcv   38789.215  A     155   0     23201
drop  38798.598  D     23201 100   155  
snd   39040.685  D     23201 100   155  
rcv   39090.736  A     155   0     23301
drop  39096.431  D     23301 100   155  
snd   39342.645  D     23301 100   155  
rcv   39392.420  A     155   0     23401
snd   39394.104  D     23401 100   155  
rcv   39443.172  A     155   0     23501
drop  39446.425  D     23501 100   155  
snd   39695.042  D     23501 100   155  
rcv   39744.896  A     155   0     23601
snd   39746.770  D     23601 100   155  
rcv   39795.942  A     155   0     23701
snd   39803.161  D     23701 100   155  
rcv   39846.354  A     155   0     23801
drop  39853.781  D     23801 100   155  
snd   40097.802  D     23801 100   155  
rcv   40147.600  A     155   0     23901
drop  40149.583  D     23901 100   155  
